
==================================================
         Powercap Average Package Report          
==================================================

Powercap       Average Package     
-----------------------------------
1              68.409889           
2              68.341850           
3              67.719055           
4              67.612686           
5              25.392403           
6              22.632339           
7              20.481216           
8              20.505791           
9              20.740044           
10             21.129395           
11             21.883240           
12             22.382812           
13             23.202988           
14             24.221863           
15             24.910881           
16             25.739754           
17             26.458557           
18             26.538284           
19             26.519104           
20             26.560234           
21             26.755562           
22             26.717377           
23             26.663223           
24             26.760216           
25             26.667717           
26             26.417496           
27             26.608055           
28             26.491882           
29             26.508919           
30             26.870285           
31             26.283676           
32             26.419456           
33             26.260506           
34             26.684883           
35             26.641304           
36             26.323288           
37             26.500511           
38             26.513268           
39             26.382195           
40             26.644997           
41             26.556755           
42             26.799393           
43             26.673927           
44             26.556763           
45             26.490089           
46             26.329491           
47             26.616463           
48             26.168030           
49             26.640007           
50             26.310997           
51             26.496017           
52             26.654510           
53             26.538597           
54             26.441643           
55             26.439468           
56             26.570564           
57             26.565071           
58             26.280792           
59             26.408623           
60             26.200447           
61             26.363838           
62             26.309746           
63             26.370743           
64             26.411003           
65             26.675781           
66             26.638077           
67             26.600777           
68             26.449982           
69             26.359566           
70             26.359619           
71             26.286003           
72             26.330879           
73             26.577591           
74             26.417061           
75             26.520966           
76             26.422203           
77             26.540070           
78             26.628166           
79             26.419273           
80             26.327187           
81             26.533051           
82             26.173477           
83             26.583755           
84             26.261993           
85             26.338028           
86             26.687302           
87             26.545471           
88             26.486626           
89             26.369843           
90             26.474861           
91             26.210869           
92             26.419380           
93             26.720642           
94             26.311966           
95             26.676598           

===================================
Powercap with the lowest average package: 7 (Average: 20.481216)
===================================
