Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, myprogram, 1, 39.173095703125000000, 6.306884765625000000, 0.035278320312500000, 5.285888671875000000, 18397, 37.0, 1096
C, myprogram, 1, 41.060546875000000000, 6.259887695312500000, 0.046997070312500000, 5.278625488281250000, 18356.3, 37.0, 1096
C, myprogram, 1, 38.704650878906250000, 6.240234375000000000, 0.039184570312500000, 5.276306152343750000, 18403.1, 37.0, 1096
C, myprogram, 1, 38.648437500000000000, 6.278869628906250000, 0.039611816406250000, 5.287780761718750000, 18411, 36.8, 1096
C, myprogram, 1, 38.752685546875000000, 6.262390136718750000, 0.042114257812500000, 5.291687011718750000, 18424.1, 36.5, 1096
C, myprogram, 1, 38.371154785156250000, 6.230529785156250000, 0.038452148437500000, 5.257263183593750000, 18358.5, 36.5, 1096
C, myprogram, 1, 38.603210449218750000, 6.247375488281250000, 0.039123535156250000, 5.260803222656250000, 18366.5, 36.2, 1096
C, myprogram, 1, 38.632629394531250000, 6.243530273437500000, 0.041748046875000000, 5.282409667968750000, 18444.9, 36.5, 1096
C, myprogram, 1, 38.683959960937500000, 6.227844238281250000, 0.039978027343750000, 5.282897949218750000, 18426.2, 36.5, 1096
C, myprogram, 1, 38.372741699218750000, 6.228576660156250000, 0.037536621093750000, 5.257507324218750000, 18362.3, 36.2, 1096
Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, myprogram, 2, 38.462341308593750000, 6.206359863281250000, 0.038879394531250000, 5.280395507812500000, 18430.1, 36.5, 1096
C, myprogram, 2, 38.647949218750000000, 6.249145507812500000, 0.038452148437500000, 5.273376464843750000, 18407.3, 36.5, 1096
C, myprogram, 2, 40.298400878906250000, 6.221069335937500000, 0.043823242187500000, 5.283020019531250000, 18404.7, 36.2, 1096
C, myprogram, 2, 38.493713378906250000, 6.225830078125000000, 0.041748046875000000, 5.283020019531250000, 18418.6, 36.2, 1096
C, myprogram, 2, 38.810058593750000000, 6.377990722656250000, 0.045227050781250000, 5.301391601562500000, 18439, 36.2, 1096
C, myprogram, 2, 38.658813476562500000, 6.258239746093750000, 0.042724609375000000, 5.278686523437500000, 18392.3, 36.2, 1096
C, myprogram, 2, 38.483886718750000000, 6.239868164062500000, 0.041442871093750000, 5.267089843750000000, 18362.4, 36.2, 1096
C, myprogram, 2, 38.463989257812500000, 6.222473144531250000, 0.038146972656250000, 5.261169433593750000, 18364.7, 36.0, 1096
