snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,265595547,0,0,39304
2,571076331,0,0,30264
3,792994330,0,0,63656
4,1060473763,0,0,66984
5,1407164852,0,0,145816
6,1559410915,0,0,142296
7,1782564180,0,0,91736
8,1969323247,0,0,109384
9,2228979931,0,0,110504
10,2573205911,0,0,141656
11,2779290843,0,0,251168
12,3121933822,0,0,49656
13,3482988131,0,0,100296
14,3741177803,0,0,67016
15,3912298861,0,0,272824
16,4155383889,0,0,202504
17,4324994312,0,0,236696
18,4522744415,0,0,326688
19,4689856679,0,0,270904
20,4910467303,0,0,314104
21,5242870803,0,0,368608
22,5587423264,0,0,213496
23,5804489891,0,0,272184
24,6044729561,0,0,218264
25,6231188759,0,0,226744
26,6451779343,0,0,408664
27,6655994546,0,0,379016
28,6916140753,0,0,418744
29,7142365463,0,0,289304
30,7391758225,0,0,432848
31,7585235685,0,0,437248
32,7784648195,0,0,441648
33,7993784283,0,0,446128
34,8186245199,0,0,281784
35,8434525189,0,0,455168
36,8762582165,0,0,402616
37,9005019063,0,0,187944
38,9354638273,0,0,416664
39,9694029053,0,0,478608
40,9886489947,0,0,165784
41,10068955945,0,0,183544
42,10263307675,0,0,488288
43,10455768555,0,0,274104
44,10662365048,0,0,106936
45,10854825949,0,0,101816
46,11068964325,0,0,133384
47,11392064477,0,0,100424
48,11530490925,0,0,508288
49,11626721343,0,0,74904
50,11765147835,0,0,274344
51,11874604013,0,0,513408
52,12013030467,0,0,508696
53,12151456924,0,0,466856
54,12232319553,0,0,518608
55,12370746026,0,0,368776
56,12509172521,0,0,290056
57,12598324543,0,0,523808
58,12736750999,0,0,413904
59,12875177489,0,0,481656
60,12978442105,0,0,529088
61,13116868569,0,0,464504
62,13255295054,0,0,58456
63,13373060715,0,0,534448
64,13511487179,0,0,98024
65,13649913667,0,0,288504
66,13776486743,0,0,539808
67,13914913205,0,0,476216
68,14053339693,0,0,102104
69,14191766185,0,0,75144
70,14194939635,0,0,545248
71,14333366125,0,0,167096
72,14471792577,0,0,356464
73,14610219046,0,0,225816
74,14628819639,0,0,550768
75,14767246123,0,0,124424
76,14905672581,0,0,40424
77,15044099073,0,0,275304
78,15072040725,0,0,556288
79,15210467211,0,0,179064
80,15348893665,0,0,57224
81,15487320115,0,0,167624
82,15531230435,0,0,561888
83,15669656885,0,0,101944
84,15808083380,0,0,180776
85,15946509866,0,0,291416
86,16006800789,0,0,567568
87,16145227281,0,0,112776
88,16283653743,0,0,561304
89,16422080225,0,0,35224
90,16492261585,0,0,573248
91,16630688043,0,0,432536
92,16769114522,0,0,280536
93,16907540974,0,0,134224
94,16994660233,0,0,579008
95,17133086685,0,0,220424
96,17271513170,0,0,164936
