snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,1545731839,1938666,150878,208040
2,2340003565,1938666,150878,373160
3,4289579214,1938666,150878,553856
4,5751512582,1938666,150878,404160
5,6876259687,1938666,150878,456744
6,8182381736,1938666,150878,552472
7,9694265214,1938666,150878,889856
8,10629904005,1938666,150878,431256
9,12316857267,1938666,150878,843328
10,13226323027,1938666,150878,662592
11,14495820529,1938666,150878,947008
12,15571977887,1938666,150878,1042176
13,17737034187,1938666,150878,1202304
14,19334674111,1938666,150878,1112096
15,21143665067,1947186,150934,1091488
16,23207760868,1947186,150934,975784
17,24999431500,1947186,150934,673440
18,26359999509,1947186,150934,916928
19,28135331373,1947186,150934,1001152
20,29487184773,1947186,150934,1111448
21,30413055275,1947186,150934,1612032
22,32097204851,1947186,150934,857128
23,33095070249,1947186,150934,542016
24,34771958533,1947186,150934,1006240
25,36310466203,1947186,150934,1525280
26,37370838032,1947186,150934,1462208
27,38909345988,1947186,150934,1069888
28,40895731460,1947186,150934,1440424
29,41889059771,1947186,150934,373416
30,43427567427,1947186,150934,1478048
31,45355078729,1947186,150934,1469864
32,47067034085,1947186,150934,1879936
33,48605541721,1947186,150934,831608
34,49759422535,1947186,150934,988056
35,51673331743,1947186,150934,1293992
36,52718133789,1947186,150934,1674920
37,53845110328,1947186,150934,820928
38,54889912368,1947186,150934,1811736
39,56732000972,1947186,150934,2000640
40,58821605220,1947186,150934,1232888
41,60850721645,1947186,150934,198688
42,61895523803,1947186,150934,958504
43,63985127957,1947186,150934,1978304
44,65683235165,1947186,150934,1074624
45,67250438271,1947186,150934,374296
46,67977809855,1947186,150934,2210048
47,69665560112,2085438,152514,2245240
48,70773595940,2085438,152514,1731144
49,71988430943,2085438,152514,2381128
50,72715802531,2085438,152514,1807208
51,73151254802,2085438,152514,2427352
52,73878626402,2085438,152514,1639832
53,74516789801,2085438,152514,2474008
54,75244161401,2085438,152514,1557128
55,75971532995,2085438,152514,2377648
56,76092093956,2085438,152514,2521144
57,76819465559,2085438,152514,1496416
58,77546837146,2085438,152514,2188632
59,77883178466,2085438,152514,2568760
60,78610550069,2085438,152514,2575632
61,79337921663,2085438,152514,2217360
62,79896111659,2085438,152514,2616856
63,80623483244,2085438,152514,2592568
64,81350854849,1832039,151761,1012032
65,82078226449,1832039,151761,2034696
66,82805598052,1832039,151761,1990976
67,83532969636,1832039,151761,1741056
68,84260341223,1832039,151761,852080
69,84987712810,1832039,151761,2200992
70,85715084417,1832039,151761,541440
71,86442456014,1832039,151761,1659008
72,87169827603,1832039,151761,663424
73,87897199211,1832039,151761,721360
74,88624570801,1832039,151761,2143160
75,89351942390,1832039,151761,887448
76,90079313986,1832039,151761,2309336
77,90806685576,1832039,151761,994984
78,91534057168,1832039,151761,1364416
79,92261428761,1832039,151761,681064
80,92988800346,1832039,151761,214400
81,93716171947,1832039,151761,1401712
82,94443543545,1832039,151761,1181480
83,95170915130,1832039,151761,2197416
84,95898286716,1832039,151761,395568
85,96625658324,1832039,151761,2469824
