snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,46948612,1215683,23509,21984
2,56750345019,1184822,23434,1448
3,81030973038,1184822,23434,1448
4,119327265318,1184822,23434,1448
5,180127400261,1184822,23434,1496
6,230792840820,1184822,23434,1448
7,288367205235,1184822,23434,1528
8,328259519219,1184822,23434,1448
9,371778407556,1184822,23434,1448
10,415297296015,1184822,23434,1536
11,451563035510,1184822,23434,1480
12,503677337385,1184822,23434,1448
13,537658769303,1184822,23434,1448
14,576868113365,1184822,23434,1448
15,626533285720,1184822,23434,1448
16,668356590399,1184822,23434,1448
17,704951982360,1184822,23434,1496
18,731091548128,1184822,23434,1448
19,768383504033,1184822,23434,1448
20,811890785634,1184822,23434,1448
21,836752089044,1184822,23434,1448
22,877151707789,1184822,23434,1448
23,904067993499,1184822,23434,1512
24,959929485755,1184822,23434,1544
25,1019247788951,1184822,23434,1528
26,1059805460014,1184822,23434,1448
27,1112842414723,1184822,23434,1464
28,1144040623043,1184822,23434,1512
29,1178122419335,1184822,23434,1496
30,1224211032628,1184822,23434,1448
31,1281821799866,1184822,23434,1528
32,1312547542480,1184822,23434,1480
33,1364707318639,1184822,23434,1448
34,1404354837667,1184822,23434,1448
35,1429134537540,1184822,23434,1448
36,1478693935830,1184822,23434,1448
37,1523215780928,1184822,23434,1512
38,1579879947038,1184822,23434,1448
39,1611802068004,1184822,23434,1448
40,1668552505171,1184822,23434,1448
41,1721756040305,1184822,23434,1448
42,1757225063978,1184822,23434,1448
43,1792987982899,1184822,23434,1448
44,1834970541210,1184822,23434,1480
45,1880062918054,1184822,23434,1448
46,1912716018052,1184822,23434,1448
47,1967000064053,1184822,23434,1448
48,2010427301398,1184822,23434,1448
49,2048426133559,1184822,23434,1448
50,2051231925110,1184822,23434,1528
51,2054037716917,1184822,23434,1448
52,2056843508828,1184822,23434,1448
53,2059649300754,1184822,23434,1448
54,2062455092337,1184822,23434,1448
55,2065260883905,1184822,23434,1544
56,2068066675453,1184822,23434,1464
57,2070872467165,1184822,23434,1448
58,2073678258737,1184822,23434,1448
59,2076484050295,1184822,23434,1480
60,2079289841844,1184822,23434,1496
61,2082095633409,1184822,23434,1448
62,2084901425194,1184822,23434,1448
63,2087707216788,1184822,23434,1448
64,2090513008337,1184822,23434,1448
65,2093318799881,1184822,23434,1464
66,2096124591423,1184822,23434,1464
67,2098930382988,1184822,23434,1544
68,2101736174605,1184822,23434,1448
69,2104541966532,1184822,23434,1448
70,2107347758162,1184822,23434,1448
71,2110153549717,1184822,23434,1480
72,2112959341621,1184822,23434,1448
73,2115765133163,1184822,23434,1488
74,2118570924730,1184822,23434,1496
75,2121376716275,1184822,23434,1496
76,2124182507824,1184822,23434,1480
77,2126988299363,1184822,23434,1464
78,2129794090911,1184822,23434,1496
79,2132599882476,1184822,23434,1528
80,2135405674197,1184822,23434,1448
81,2138211466005,1184822,23434,1448
82,2141017257634,1184822,23434,1448
83,2143823049178,1184822,23434,1480
84,2146628840729,1184822,23434,1464
85,2149434632359,1184822,23434,1448
86,2152240423931,1184822,23434,1544
87,2155046215484,1184822,23434,1448
